price,sold,Free_Shipping,Paid_Shipping
27.93,5,1,0.0
248.6,16,1,0.0
12.11,2,0,94.92
96.01,1,1,0.0
40.08,4,1,0.0
144.62,7,1,0.0
23.43,1,1,0.0
235.34,0,1,0.0
215.68,1,1,0.0
38.59,15,1,0.0
199.97,3,1,0.0
71.75,0,1,0.0
82.82,15,1,0.0
106.15,2,1,0.0
141.05,2,1,0.0
468.71,0,1,0.0
173.25,0,1,0.0
12.79,1,1,0.0
55.57,1,1,0.0
366.32,9,1,0.0
251.55,0,1,0.0
63.81,6,1,0.0
114.08,3,1,0.0
96.37,22,1,0.0
112.95,1,1,0.0
86.45,8,1,0.0
50.61,2,1,0.0
10.67,15,1,0.0
139.52,1,1,0.0
245.57,7,1,0.0
178.92,5,1,0.0
33.11,2,1,0.0
12.28,10000,1,0.0
51.06,2,0,1.0
93.85,27,1,0.0
242.21,2,1,0.0
89.17,0,1,0.0
82.72,8,1,0.0
152.5,2,1,0.0
54.35,7,1,0.0
66.68,900,1,0.0
175.57,8,1,0.0
52.77,0,1,0.0
26.46,9,1,0.0
229.7,0,1,0.0
13.64,2000,1,0.0
73.35,8,1,0.0
44.75,0,1,0.0
29.45,4,1,0.0
177.45,1,1,0.0
83.9,16,1,0.0
4.82,17,1,0.0
357.4,1,1,0.0
159.57,3,1,0.0
253.22,0,1,0.0
67.96,0,1,0.0
175.63,0,1,0.0
67.38,2,1,0.0
15.69,6,1,0.0
61.65,0,1,0.0
38.07,6,1,0.0
133.15,1,1,0.0
102.97,2,1,0.0
349.06,20,1,0.0
125.35,0,1,0.0
228.06,2,1,0.0
34.0,11,1,0.0
152.46,1,1,0.0
214.69,0,1,0.0
89.4,2,1,0.0
29.0,1,0,170.31
9.07,2,1,0.0
30.78,6,1,0.0
174.09,1,1,0.0
62.75,2,1,0.0
181.88,5,1,0.0
117.79,13,1,0.0
31.51,1,1,0.0
7.92,0,1,0.0
188.7,1,1,0.0
41.57,3,1,0.0
155.43,3,1,0.0
112.72,35,1,0.0
85.85,28,1,0.0
128.0,6,1,0.0
39.3,2,1,0.0
41.18,14,1,0.0
236.7,12,1,0.0
58.93,5,1,0.0
128.12,2,1,0.0
129.32,7,1,0.0
150.81,6,1,0.0
173.29,6,1,0.0
10.79,10,1,0.0
34.22,288,1,0.0
143.53,1,1,0.0
71.15,7,1,0.0
58.45,7,1,0.0
169.62,9,1,0.0
226.97,14,1,0.0
112.56,8,1,0.0
70.12,6,1,0.0
12.61,50,1,0.0
76.01,9,1,0.0
61.88,9,1,0.0
154.37,4,1,0.0
64.09,27,1,0.0
26.3,10,0,88.26
7.09,1,0,23.49
22.49,35,1,0.0
132.87,0,1,0.0
118.17,11,1,0.0
121.82,16,1,0.0
178.33,0,1,0.0
841.14,1,1,0.0
55.21,1,1,0.0
44.27,13,1,0.0
175.25,4,1,0.0
18.01,0,1,0.0
0.99,43,1,0.0
64.78,2,1,0.0
197.9,18,1,0.0
117.79,10,1,0.0
53.74,6,1,0.0
72.49,8,1,0.0
34.94,5,1,0.0
172.7,4,1,0.0
145.7,5,1,0.0
288.77,1,1,0.0
144.09,9,1,0.0
4.15,1,0,30.44
141.96,2,1,0.0
30.27,4,1,0.0
191.89,1,1,0.0
390.07,4,1,0.0
69.35,2,1,0.0
93.06,5,1,0.0
96.39,8,1,0.0
35.12,3,1,0.0
94.38,1,1,0.0
35.41,2,1,0.0
136.36,0,1,0.0
37.51,9,1,0.0
376.4,5,1,0.0
18.69,197,1,0.0
248.78,4,1,0.0
56.94,4,1,0.0
146.8,1,1,0.0
91.65,1,1,0.0
173.16,1,1,0.0
66.85,10,1,0.0
51.4,20,1,0.0
530.46,3,1,0.0
37.6,3,1,0.0
3.94,2,0,14.97
255.02,5,1,0.0
240.05,1,1,0.0
67.81,4,1,0.0
168.62,0,1,0.0
216.55,0,1,0.0
143.04,4,1,0.0
36.65,4,1,0.0
111.05,1,1,0.0
28.28,1,1,0.0
8.18,2,1,0.0
108.14,1,1,0.0
136.24,15,1,0.0
104.85,185,1,0.0
439.93,1,1,0.0
95.06,3,1,0.0
36.07,0,1,0.0
24.96,1,1,0.0
7.64,9,0,75.99
318.16,14,1,0.0
68.34,16,1,0.0
150.5,0,1,0.0
153.68,1,1,0.0
133.89,12,1,0.0
2.84,2,0,14.91
274.81,4,1,0.0
14.17,23,0,18.81
229.12,0,1,0.0
229.61,2,1,0.0
36.73,0,1,0.0
190.47,8,1,0.0
47.85,35,1,0.0
170.6,7,1,0.0
301.7,2,1,0.0
46.25,1,1,0.0
1197.77,0,1,0.0
32.31,22,1,0.0
59.68,3,1,0.0
35.92,4,1,0.0
498.93,0,1,0.0
166.59,1,1,0.0
335.12,7,1,0.0
40.78,26,1,0.0
169.97,1,1,0.0
8.04,1000,1,0.0
159.66,3,1,0.0
13.99,10,1,0.0
140.85,1,1,0.0
7.27,65,1,0.0
102.02,1,1,0.0
30.84,3,1,0.0
236.87,84,1,0.0
35.98,13,1,0.0
105.02,4,1,0.0
70.42,38,1,0.0
8.62,2,1,0.0
52.12,1,1,0.0
350.1,6,1,0.0
122.32,2,1,0.0
